Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
P07332,FES_HUMAN,Tyrosine-protein kinase Fes/Fps ,FES,FPS,TK,822,"93,497",Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)
P11362,FGFR1_HUMAN,Fibroblast growth factor receptor 1 ,FGFR1,BFGFR CEK FGFBR FLG FLT2 HBGFR,TK,822,"91,868",Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)
P21802,FGFR2_HUMAN,Fibroblast growth factor receptor 2 ,FGFR2,BEK KGFR KSAM,TK,821,"92,025",Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)
P22607,FGFR3_HUMAN,Fibroblast growth factor receptor 3 ,FGFR3,JTK4,TK,806,"87,710",Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)
P22455,FGFR4_HUMAN,Fibroblast growth factor receptor 4 ,FGFR4,JTK2 TKF,TK,802,"87,954",Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)
Q96C11,FGGY_HUMAN,FGGY carbohydrate kinase domain-containing protein ,FGGY,,,551,"59,993",FGGY carbohydrate kinase domain-containing protein (EC 2.7.1.-)
P09769,FGR_HUMAN,Tyrosine-protein kinase Fgr ,FGR,SRC2,TK,529,"59,479",Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)
P17948,VGFR1_HUMAN,Vascular endothelial growth factor receptor 1 ,FLT1,FLT FRT VEGFR1,TK,1338,"150,769",Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)
P36888,FLT3_HUMAN,Receptor-type tyrosine-protein kinase FLT3 ,FLT3,CD135 FLK2 STK1,TK,993,"112,903",Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)
P35916,VGFR3_HUMAN,Vascular endothelial growth factor receptor 3 ,FLT4,VEGFR3,TK,1363,"152,757",Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)
Q9H479,FN3K_HUMAN,Fructosamine-3-kinase ,FN3K,,,309,"35,171",Fructosamine-3-kinase (EC 2.7.1.171) (Protein-psicosamine 3-kinase FN3K) (Protein-ribulosamine 3-kinase FN3K) (EC 2.7.1.172)
Q9HA64,KT3K_HUMAN,Ketosamine-3-kinase ,FN3KRP,,,309,"34,412",Ketosamine-3-kinase (EC 2.7.1.172) (Fructosamine-3-kinase-related protein) (FN3K-RP) (FN3K-related protein) (Protein-psicosamine 3-kinase FN3KRP) (EC 2.7.1.-)
P42685,FRK_HUMAN,Tyrosine-protein kinase FRK ,FRK,PTK5 RAK,TK,505,"58,254",Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)
P06241,FYN_HUMAN,Tyrosine-protein kinase Fyn ,FYN,,TK,537,"60,762",Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)
O14976,GAK_HUMAN,Cyclin-G-associated kinase ,GAK,,Other,1311,"143,191",Cyclin-G-associated kinase (EC 2.7.11.1)
P51570,GALK1_HUMAN,Galactokinase ,GALK1,GALK,,392,"42,272",Galactokinase (EC 2.7.1.6) (Galactose kinase)
Q01415,GALK2_HUMAN,N-acetylgalactosamine kinase ,GALK2,GK2,,458,"50,378",N-acetylgalactosamine kinase (EC 2.7.1.157) (GalNAc kinase) (Galactokinase 2)
P35557,HXK4_HUMAN,Hexokinase-4 ,GCK,,,465,"52,191",Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)
P32189,GLPK_HUMAN,Glycerol kinase ,GK,,,559,"61,245",Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)
Q14410,GLPK2_HUMAN,Glycerol kinase 2 ,GK2,GKP2 GKTA,,553,"60,594","Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)"
Q14409,GLPK3_HUMAN,Glycerol kinase 3 ,GK3P,GKP3 GKTB,,553,"60,598","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)"
Q6ZS86,GLPK5_HUMAN,Putative glycerol kinase 5 ,GK5,,,529,"59,156",Putative glycerol kinase 5 (GK 5) (Glycerokinase 5) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 5)
Q8IVS8,GLCTK_HUMAN,Glycerate kinase ,GLYCTK,HBEBP4,,523,"55,253",Glycerate kinase (EC 2.7.1.31) (HBeAg-binding protein 4)
Q9Y223,GLCNE_HUMAN,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,GNE,GLCNE,,722,"79,275",Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]
Q15835,GRK1_HUMAN,Rhodopsin kinase GRK1 ,GRK1,RHOK,AGC,563,"63,526",Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1)
P25098,ARBK1_HUMAN,Beta-adrenergic receptor kinase 1 ,GRK2,ADRBK1 BARK BARK1,AGC,689,"79,574",Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)
P35626,ARBK2_HUMAN,Beta-adrenergic receptor kinase 2 ,GRK3,ADRBK2 BARK2,AGC,688,"79,710",Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)
P32298,GRK4_HUMAN,G protein-coupled receptor kinase 4 ,GRK4,GPRK2L GPRK4,AGC,578,"66,583",G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)
P34947,GRK5_HUMAN,G protein-coupled receptor kinase 5 ,GRK5,GPRK5,AGC,590,"67,787",G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)
P43250,GRK6_HUMAN,G protein-coupled receptor kinase 6 ,GRK6,GPRK6,AGC,576,"65,991",G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)
Q8WTQ7,GRK7_HUMAN,Rhodopsin kinase GRK7 ,GRK7,GPRK7,AGC,553,"62,212",Rhodopsin kinase GRK7 (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)
P49840,GSK3A_HUMAN,Glycogen synthase kinase-3 alpha ,GSK3A,,CMGC,483,"50,981",Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)
P49841,GSK3B_HUMAN,Glycogen synthase kinase-3 beta ,GSK3B,,CMGC,420,"46,744",Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)
Q16774,KGUA_HUMAN,Guanylate kinase ,GUK1,GMK GMPK,,197,"21,726",Guanylate kinase (EC 2.7.4.8) (GMP kinase) (Guanylate kinase 1)
Q8TF76,HASP_HUMAN,Serine/threonine-protein kinase haspin ,HASPIN,GSG2,Other,798,"88,495",Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)
P08631,HCK_HUMAN,Tyrosine-protein kinase HCK ,HCK,,TK,526,"59,600",Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)
Q86Z02,HIPK1_HUMAN,Homeodomain-interacting protein kinase 1 ,HIPK1,KIAA0630 MYAK NBAK2,CMGC,1210,"130,843",Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)
Q9H2X6,HIPK2_HUMAN,Homeodomain-interacting protein kinase 2 ,HIPK2,,CMGC,1198,"130,966",Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)
Q9H422,HIPK3_HUMAN,Homeodomain-interacting protein kinase 3 ,HIPK3,DYRK6 FIST3 PKY,CMGC,1215,"133,743",Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)
Q8NE63,HIPK4_HUMAN,Homeodomain-interacting protein kinase 4 ,HIPK4,,CMGC,616,"69,425",Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)
P19367,HXK1_HUMAN,Hexokinase-1 ,HK1,,,917,"102,486",Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)
P52789,HXK2_HUMAN,Hexokinase-2 ,HK2,,,917,"102,380",Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)
P52790,HXK3_HUMAN,Hexokinase-3 ,HK3,,,923,"99,025",Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)
Q2TB90,HKDC1_HUMAN,Hexokinase HKDC1 ,HKDC1,,,917,"102,545",Hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)
P57058,HUNK_HUMAN,Hormonally up-regulated neu tumor-associated kinase ,HUNK,MAKV,CAMK,714,"79,686",Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V)
A2RU49,HYKK_HUMAN,Hydroxylysine kinase ,HYKK,AGPHD1,,373,"41,933",Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)
Q5T6J7,GNTK_HUMAN,Probable gluconokinase ,IDNK,C9orf103,,187,"20,578",Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)
P08069,IGF1R_HUMAN,Insulin-like growth factor 1 receptor ,IGF1R,,TK,1367,"154,793",Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]
O14920,IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta ,IKBKB,IKKB,Other,756,"86,564",Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)
Q14164,IKKE_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit epsilon ,IKBKE,IKKE IKKI KIAA0151,Other,716,"80,462",Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)
Q13418,ILK_HUMAN,Integrin-linked protein kinase ,ILK,ILK1 ILK2,TKL,452,"51,419",Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (ILK-1) (ILK-2) (p59ILK)
P06213,INSR_HUMAN,Insulin receptor ,INSR,,TK,1382,"156,333",Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]
P14616,INSRR_HUMAN,Insulin receptor-related protein ,INSRR,IRR,TK,1297,"143,720",Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]
Q92551,IP6K1_HUMAN,Inositol hexakisphosphate kinase 1 ,IP6K1,IHPK1 KIAA0263,,441,"50,236",Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)
Q9UHH9,IP6K2_HUMAN,Inositol hexakisphosphate kinase 2 ,IP6K2,IHPK2,,426,"49,186",Inositol hexakisphosphate kinase 2 (InsP6 kinase 2) (InsP6K2) (EC 2.7.4.-) (P(i)-uptake stimulator) (PiUS)
Q96PC2,IP6K3_HUMAN,Inositol hexakisphosphate kinase 3 ,IP6K3,IHPK3,,410,"46,417",Inositol hexakisphosphate kinase 3 (InsP6 kinase 3) (EC 2.7.4.21) (Inositol hexaphosphate kinase 3)
Q8NFU5,IPMK_HUMAN,Inositol polyphosphate multikinase ,IPMK,IMPK,,416,"47,222","Inositol polyphosphate multikinase (EC 2.7.1.140) (EC 2.7.1.151) (EC 2.7.1.153) (Inositol 1,3,4,6-tetrakisphosphate 5-kinase)"
Q9H8X2,IPPK_HUMAN,Inositol-pentakisphosphate 2-kinase ,IPPK,C9orf12,,491,"56,017","Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (IPK1 homolog) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)"
P51617,IRAK1_HUMAN,Interleukin-1 receptor-associated kinase 1 ,IRAK1,IRAK,TKL,712,"76,537",Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)
Q9Y616,IRAK3_HUMAN,Interleukin-1 receptor-associated kinase 3 ,IRAK3,,TKL,596,"67,767",Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)
Q9NWZ3,IRAK4_HUMAN,Interleukin-1 receptor-associated kinase 4 ,IRAK4,,TKL,460,"51,530",Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)
Q08881,ITK_HUMAN,Tyrosine-protein kinase ITK/TSK ,ITK,EMT LYK,TK,620,"71,831",Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)
Q13572,ITPK1_HUMAN,Inositol-tetrakisphosphate 1-kinase ,ITPK1,,,414,"45,621","Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)"
P23677,IP3KA_HUMAN,Inositol-trisphosphate 3-kinase A ,ITPKA,,,461,"51,009","Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)"
P27987,IP3KB_HUMAN,Inositol-trisphosphate 3-kinase B ,ITPKB,,,946,"102,376","Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)"
Q96DU7,IP3KC_HUMAN,Inositol-trisphosphate 3-kinase C ,ITPKC,IP3KC,,683,"75,207","Inositol-trisphosphate 3-kinase C (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C)"
P23458,JAK1_HUMAN,Tyrosine-protein kinase JAK1 ,JAK1,JAK1A JAK1B,TK,1154,"133,277",Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)
O60674,JAK2_HUMAN,Tyrosine-protein kinase JAK2 ,JAK2,,TK,1132,"130,674",Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)
P52333,JAK3_HUMAN,Tyrosine-protein kinase JAK3 ,JAK3,,TK,1124,"125,099",Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)
O60229,KALRN_HUMAN,Kalirin ,KALRN,DUET DUO HAPIP TRAD,CAMK,2986,"340,261",Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)
P35968,VGFR2_HUMAN,Vascular endothelial growth factor receptor 2 ,KDR,FLK1 VEGFR2,TK,1356,"151,527",Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)
P50053,KHK_HUMAN,Ketohexokinase ,KHK,,,298,"32,523",Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase)
P10721,KIT_HUMAN,Mast/stem cell growth factor receptor Kit ,KIT,SCFR,TK,976,"109,865",Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)
Q8IVT5,KSR1_HUMAN,Kinase suppressor of Ras 1 ,KSR1,KSR,TKL,923,"102,160",Kinase suppressor of Ras 1 (EC 2.7.11.1)
Q6VAB6,KSR2_HUMAN,Kinase suppressor of Ras 2 ,KSR2,,TKL,950,"107,632",Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)
O95835,LATS1_HUMAN,Serine/threonine-protein kinase LATS1 ,LATS1,WARTS,AGC,1130,"126,870",Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)
Q9NRM7,LATS2_HUMAN,Serine/threonine-protein kinase LATS2 ,LATS2,KPM,AGC,1088,"120,136",Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)
P06239,LCK_HUMAN,Tyrosine-protein kinase Lck ,LCK,,TK,509,"58,001",Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)
P53667,LIMK1_HUMAN,LIM domain kinase 1 ,LIMK1,LIMK,TKL,647,"72,585",LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)
P53671,LIMK2_HUMAN,LIM domain kinase 2 ,LIMK2,,TKL,638,"72,232",LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)
Q8IWU2,LMTK2_HUMAN,Serine/threonine-protein kinase LMTK2 ,LMTK2,AATYK2 BREK KIAA1079 KPI2 LMR2,TK,1503,"164,900",Serine/threonine-protein kinase LMTK2 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated kinase) (CPRK) (Kinase/phosphatase/inhibitor 2) (Lemur tyrosine kinase 2) (Serine/threonine-protein kinase KPI-2)
Q96Q04,LMTK3_HUMAN,Serine/threonine-protein kinase LMTK3 ,LMTK3,KIAA1883 TYKLM3,TK,1460,"153,661",Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3)
Q96M69,LRGUK_HUMAN,Leucine-rich repeat and guanylate kinase domain-containing protein,LRGUK,,,825,"93,618",Leucine-rich repeat and guanylate kinase domain-containing protein
Q38SD2,LRRK1_HUMAN,Leucine-rich repeat serine/threonine-protein kinase 1 ,LRRK1,KIAA1790,TKL,2015,"225,393",Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)
Q5S007,LRRK2_HUMAN,Leucine-rich repeat serine/threonine-protein kinase 2 ,LRRK2,PARK8,TKL,2527,"286,103",Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)
P29376,LTK_HUMAN,Leukocyte tyrosine kinase receptor ,LTK,TYK1,TK,864,"91,681",Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)
P07948,LYN_HUMAN,Tyrosine-protein kinase Lyn ,LYN,JTK8,TK,512,"58,574",Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)
P20794,MAK_HUMAN,Serine/threonine-protein kinase MAK ,MAK,,CMGC,623,"70,581",Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase)
Q02750,MP2K1_HUMAN,Dual specificity mitogen-activated protein kinase kinase 1 ,MAP2K1,MEK1 PRKMK1,STE,393,"43,439",Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)
P36507,MP2K2_HUMAN,Dual specificity mitogen-activated protein kinase kinase 2 ,MAP2K2,MEK2 MKK2 PRKMK2,STE,400,"44,424",Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
P46734,MP2K3_HUMAN,Dual specificity mitogen-activated protein kinase kinase 3 ,MAP2K3,MEK3 MKK3 PRKMK3 SKK2,STE,347,"39,318",Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)
P45985,MP2K4_HUMAN,Dual specificity mitogen-activated protein kinase kinase 4 ,MAP2K4,JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1,STE,399,"44,288",Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)
Q13163,MP2K5_HUMAN,Dual specificity mitogen-activated protein kinase kinase 5 ,MAP2K5,MEK5 MKK5 PRKMK5,STE,448,"50,112",Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)
P52564,MP2K6_HUMAN,Dual specificity mitogen-activated protein kinase kinase 6 ,MAP2K6,MEK6 MKK6 PRKMK6 SKK3,STE,334,"37,492",Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)
O14733,MP2K7_HUMAN,Dual specificity mitogen-activated protein kinase kinase 7 ,MAP2K7,JNKK2 MEK7 MKK7 PRKMK7 SKK4,STE,419,"47,485",Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)
Q13233,M3K1_HUMAN,Mitogen-activated protein kinase kinase kinase 1 ,MAP3K1,MAPKKK1 MEKK MEKK1,STE,1512,"164,470",Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1)
Q02779,M3K10_HUMAN,Mitogen-activated protein kinase kinase kinase 10 ,MAP3K10,MLK2 MST,TKL,954,"103,694",Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST)
Q16584,M3K11_HUMAN,Mitogen-activated protein kinase kinase kinase 11 ,MAP3K11,MLK3 PTK1 SPRK,TKL,847,"92,688",Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)
Q12852,M3K12_HUMAN,Mitogen-activated protein kinase kinase kinase 12 ,MAP3K12,ZPK,TKL,859,"93,219",Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)
O43283,M3K13_HUMAN,Mitogen-activated protein kinase kinase kinase 13 ,MAP3K13,LZK,TKL,966,"108,296",Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)
Q99558,M3K14_HUMAN,Mitogen-activated protein kinase kinase kinase 14 ,MAP3K14,NIK,STE,947,"104,042",Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)
Q6ZN16,M3K15_HUMAN,Mitogen-activated protein kinase kinase kinase 15 ,MAP3K15,ASK3,STE,1313,"147,437",Mitogen-activated protein kinase kinase kinase 15 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)
Q56UN5,M3K19_HUMAN,Mitogen-activated protein kinase kinase kinase 19 ,MAP3K19,RCK YSK4,STE,1328,"150,537","Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)"
Q9Y2U5,M3K2_HUMAN,Mitogen-activated protein kinase kinase kinase 2 ,MAP3K2,MAPKKK2 MEKK2,STE,619,"69,741",Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)
